Chemical,Species,Conc
Cd,Acipenser transmontanus,6.79
Cd,Ambystoma gracile,209
Cd,Catostomus commersoni,13
Cd,Ceriodaphnia dubia,8.85
Cd,Ceriodaphnia reticulata,0.07
Cd,Chironomus dilutus,1.13
Cd,Cottus bairdi,0.76
Cd,Daphnia magna,0.31
Cd,Daphnia pulex,0.12
Cd,Echinogammarus meridionalis,1.92
Cd,Esox lucius,13.9
Cd,Gammarus pulex,2.29
Cd,Hyalella azteca,0.25
Cd,Hyalella azteca,0.33
Cd,Hydra viridissima,1.6
Cd,Hydra vulgaris,25
Cd,Lemna minor,88.5
Cd,Lemna minor,162
Cd,Oncorhynchus kisutch,3.67
Cd,Oncorhynchus kisutch,13.5
Cd,Oncorhynchus kisutch,13.5
Cd,Oncorhynchus mykiss,0.24
Cd,Oncorhynchus tshawytscha,2.13
Cd,Oncorhynchus tshawytscha,2.3
Cd,Pimephales promelas,2.18
Cd,Prosopium williamsoni,1.33
Cd,Prosopium williamsoni,3.12
Cd,Pseudokirchneriella subcapitata,23.3
Cd,Pseudokirchneriella subcapitata,31.1
Cd,Pseudokirchneriella subcapitata,37.1
Cd,Pseudokirchneriella subcapitata,59.5
Cd,Salmo trutta,1.29
Cd,Salmo trutta,1.75
Cd,Salmo trutta,2.93
Cd,Salmo trutta,3.09
Cd,Salmo trutta,3.19
Cd,Salmo trutta,6.09
Cd,Salvelinus confluentus,1.13
Cd,Salvelinus fontinalis,4.53
Cd,Salvelinus fontinalis,7.49
Cd,Salvelinus fontinalis,7.92
Cd,Salvelinus fontinalis,12.5
Cd,Salvelinus namaycush,13.3
